acérrimo: aférrimo
aversión: adversión
beneficencia: beneficiencia
coger: cojer
consanguinidad: consanguineidad
conciencia: consciencia
contrición: contricción
convalecencia: convalescencia
constipado: costipado
decisión: desición
diglosia: disglosia
digresión: disgresión
dislexia: dixlesia
excéntrico: escéntrico
expectativa: espectativa
explanada: esplanada
exhalar:  exalar
exhausto: exausto
escéptico: excéptico
exorbitante: exhorbitante
exuberante: exhuberante
exhortar: exortar
extrínseco: extrínsico
exhumar: exumar
fidedigno: fideligno
friegaplatos: fregaplatos
garaje: garage
hemiplejía: hemiplegía
idiosincrasia: idiosincracia
inescrutable: inexcrutable
infligido: inflingido
injerencia: ingerencia
intrínseco: intrínsico
jerigonza: jeringoza
misógino: misógeno
móvil: móbil
prevaricación: prevadicación
prever: preveer
surrealista: subrealista
sujeción: sujección
trasplantar: transplantar
trastornado: transtornado
hurgar: urgar
banal: vanal
